"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hashtag"
"RT @sahouraxo: Your daily reminder that Joe Biden is imprisoning and torturing journalist Julian Assange because he dared reveal evidence o…",FALSE,0,NA,2021-06-08 16:54:21,FALSE,NA,"1402308024690262018",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AlirezaMortaz19",734,TRUE,FALSE,NA,NA,"biden"
"RT @ZoeTillman: This is Biden's first judicial nominee to be confirmed by the Senate. 17 nominees now pending for 113* vacancies, per feder…",FALSE,0,NA,2021-06-08 16:54:21,FALSE,NA,"1402308023926890500",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChuckRhodes15",35,TRUE,FALSE,NA,NA,"biden"
"RT @Amy_Siskind: I feel like I'm saying this a lot - but what the h*ll is Garland doing?!!!! https://t.co/emtUM88AQB",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308022534230016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spmcclintock",1245,TRUE,FALSE,NA,NA,"biden"
"RT @voadeewa: The U.S. military estimates that it has completed more than half of its pullout from Afghanistan, a pace that appears far ahe…",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308022228107272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HaroonR85633413",1,TRUE,FALSE,NA,NA,"biden"
"DoJ is another weak Biden choice.

Biden likes wishy washy.

This has been a big disappointment. https://t.co/a0w0TirBvP",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308021716492294",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NorthBelle4",0,FALSE,FALSE,NA,NA,"biden"
"RT @mahmutovur: Gelecek Partisi Genel Başkanı Ahmet Davutoğlu, Afyonkarahisar’ın küçük bir beldesindeki seçimle ilgili iddialı bir çıkış ya…",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308021661933568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mstkopuz",58,TRUE,FALSE,NA,NA,"biden"
"RT @POTUS: Tomorrow, I depart for Europe on the first foreign travel of my presidency. The trip is about realizing America’s renewed commit…",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308021594767365",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ChocoNCAmy",970,TRUE,FALSE,NA,NA,"biden"
"RT @tokitaeII: Now that we have a recorded phone call of Trump's personal lawyer Rudy Giuliani coercing a Ukrainian official to dig up dirt…",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308021536145411",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","angela_dummett",121,TRUE,FALSE,NA,NA,"biden"
"Bipartisan Joe is opposing a big part of Biden Agenda and please believe Bipartisan Joe will be the reason the Demo… https://t.co/LrvTHSI3uH",FALSE,0,NA,2021-06-08 16:54:20,TRUE,NA,"1402308021510889473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kson112",0,FALSE,FALSE,NA,NA,"biden"
"RT @polialertcom: The Koch network has been actively pressuring Democratic Sen. Joe Manchin to oppose key legislative items linked to Biden…",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308020759982080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fuun57",92,TRUE,FALSE,NA,NA,"biden"
"https://t.co/vCSW8DgC3F Biden giving America away. https://t.co/TXtP6JdFMa",FALSE,0,NA,2021-06-08 16:54:20,FALSE,NA,"1402308019166265344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Brightside172",0,FALSE,FALSE,NA,NA,"biden"
"RT @_dotgov: .@sunrisemvmt directors terminated me after I sent this letter to our members. https://t.co/Xx6dBCjOcX

As a national leader,…",FALSE,0,NA,2021-06-08 16:54:19,FALSE,NA,"1402308018507763712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ArchIsDead",107,TRUE,FALSE,NA,NA,"biden"
"@Davis_J89 @skye_daddy Fuck Biden, Im not a Biden supporter.",FALSE,0,"Davis_J89",2021-06-08 16:54:18,FALSE,"1402282047956086793","1402308013202026497","1274381266562035719","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CleverMonsterCT",0,FALSE,FALSE,NA,NA,"biden"
"RT @mail_american: Why is it Biden can acknowledge George Floyd Day, but not D-Day?",FALSE,0,NA,2021-06-08 16:54:18,FALSE,NA,"1402308013176737807",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","naeilfang",2627,TRUE,FALSE,NA,NA,"biden"
"RT @CNNPolitics: Democrats confront the reality of a narrowly split Congress as President Biden's agenda faces major obstacles https://t.co…",FALSE,0,NA,2021-06-08 16:54:18,FALSE,NA,"1402308012619014147",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","filipin80673772",9,TRUE,FALSE,NA,NA,"biden"
"RT @PamKeithFL: 79% of WV supports the For the People Act.

80% support Biden’s Infrastructure and jobs plans.

So.... who is Manchin “repr…",FALSE,0,NA,2021-06-08 16:54:18,FALSE,NA,"1402308011742449669",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","supermexican",538,TRUE,FALSE,NA,NA,"biden"
"RT @campbell_elroy: @CNNPolitics @IAmSophiaNelson Here we go again, Round 2! The press is bored and looking for a gotcha moment. Until the…",FALSE,0,NA,2021-06-08 16:54:18,FALSE,NA,"1402308011599728650",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sexygirl798",7,TRUE,FALSE,NA,NA,"biden"
